task|uuid|proband_id|stopping_criterion|intention
1|E5487D46-2353-49B6-B9B3-01422D91BE5C|1310|timeout|
2|E5487D46-2353-49B6-B9B3-01422D91BE5C|1310|perfect results|
3|E5487D46-2353-49B6-B9B3-01422D91BE5C|1310|timeout|for the evolutionary history of Super Mario 64
4|E5487D46-2353-49B6-B9B3-01422D91BE5C|1310|timeout|Germany - stats and history, for search terms (results) about general facts about Germany, for historic events
1|93BFC89A-B151-4263-8213-9D60A8D0F734|1309|timeout|for areas where the storms occured
2|93BFC89A-B151-4263-8213-9D60A8D0F734|1309|timeout|
3|93BFC89A-B151-4263-8213-9D60A8D0F734|1309|timeout|
4|93BFC89A-B151-4263-8213-9D60A8D0F734|1309|timeout|for different influences in Germany
1|75713DA5-FAF2-4ED7-BDB7-9453C12040D0|1304|perfect results|3rd content section includes the murder victims, search for background/causes/motives for the act
2|75713DA5-FAF2-4ED7-BDB7-9453C12040D0|1304|timeout|the formation of the Moon
3|75713DA5-FAF2-4ED7-BDB7-9453C12040D0|1304|timeout|"search for the mythic history of Greece. A short overview on myths/legends/gods. Suggested links were ""Homer's Odysee"", a good example for the old legends"
4|75713DA5-FAF2-4ED7-BDB7-9453C12040D0|1304|no results available|"a short summary about Germany, most important facts. I did not like the framed section perfectly, since 2 sections in the middle concerned historic events (I would put that to history). Hence, THE suitable text could not be selected. Additional results from the automatic search were bad (also showed ""error"")"
1|E993C91C-F691-42AC-8AD6-9D26BD042B0B|1308|timeout|victims of Jack the Ripper -> and why he might have done this -> background
3|E993C91C-F691-42AC-8AD6-9D26BD042B0B|1308|timeout|which creatures the first season is about
4|E993C91C-F691-42AC-8AD6-9D26BD042B0B|1308|timeout|short overview about Germany
1|4F6B2A36-A8AD-46F1-9CFA-8CA1141EF8A3|1206|timeout|
2|4F6B2A36-A8AD-46F1-9CFA-8CA1141EF8A3|1206|no results available|I searched for the World Cup trophy, the suggested terms were all related to FIFA and the World Cup by itself
3|4F6B2A36-A8AD-46F1-9CFA-8CA1141EF8A3|1206|perfect results|recent developments of the wonderbra
4|4F6B2A36-A8AD-46F1-9CFA-8CA1141EF8A3|1206|perfect results|
1|71E53BCB-9365-488B-8ED5-D1391BE6B72A|1204||search for results which relate to the production of the movie or provide extended background herefore
2|71E53BCB-9365-488B-8ED5-D1391BE6B72A|1204||for results which indicate procedures to calculate the logarithm
3|71E53BCB-9365-488B-8ED5-D1391BE6B72A|1204||search for results which examine the mechanisms for the evolution of legs of frogs
4|71E53BCB-9365-488B-8ED5-D1391BE6B72A|1204||results, which provide additional background information
1|27CE9611-8DD1-4B41-83B4-3BD14A098309|1306|no results available|definiton
1|7A5B36C9-08FC-4E45-8583-420EAF4462EE|1210|timeout|for the functioning of the DNA (BNA)
2|7A5B36C9-08FC-4E45-8583-420EAF4462EE|1210|no results available|"""practical atheism"" -> performed atheism -> atheists refuse the imagination of a god and explain the nature natural scientific facts"
